Icgc_id	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	QPURE
ICGC_0006	615.7179311	413.2717464	1028.989678	0.727564658	69.69
ICGC_0007	136.9227503	424.2686557	561.191406	0.772921505	53.41
ICGC_0009	1046.164826	819.6943854	1865.859212	0.638018831	71.35
ICGC_0075	215.6017156	-185.3297879	30.27192768	0.819973979	81.34
ICGC_0354	-1859.584666	-1067.003355	-2926.58802	0.984657161	82.1
ICGC_0020	523.6457602	273.1628154	796.8085756	0.750518859	80.4
ICGC_0021	1117.283766	729.7355559	1847.019322	0.640145863	47.04
ICGC_0025	3.655445543	50.22829761	53.88374315	0.81798515	61.95
ICGC_0026	-244.9823165	-391.1129489	-636.0952654	0.871954574	80.17
ICGC_0031	857.9045318	498.7891374	1356.693669	0.693735146	45.4
ICGC_0033	258.4836796	-340.2399703	-81.75629069	0.829275501	47.06
ICGC_0037	-164.7592135	-54.01586559	-218.7750791	0.840346837	69.67
ICGC_0087	-189.5557746	-457.7437267	-647.2995013	0.872758594	43.48
ICGC_0088	335.0415279	-220.9240109	114.117517	0.812867197	62.9
ICGC_0048	-286.0934618	-102.7266645	-388.8201263	0.853613556	62.31
ICGC_0391	-223.0644943	363.7841677	140.7196734	0.810586607	65.43
ICGC_0051	420.4148554	172.0729703	592.4878257	0.76999849	73.99
ICGC_0052	436.7070477	-619.1671619	-182.4601142	0.837445456	52.27
ICGC_0053	906.7466448	-146.8601718	759.8864731	0.754089446	41.14
ICGC_0054	-710.9361099	-220.9902656	-931.9263755	0.892386001	49.08
ICGC_0055	885.4011982	-118.6577479	766.7434503	0.753428007	60.17
ICGC_0059	-289.8121432	-483.6428532	-773.4549964	0.881648117	69.56
ICGC_0061	-225.9627439	735.5187696	509.5560256	0.777708447	63.89
ICGC_0099	1244.366633	583.3094943	1827.676127	0.642324625	46.31
ICGC_0103	-1369.551154	-792.5104553	-2162.06161	0.958921263	57.97
ICGC_0063	-1000.269673	-707.3595234	-1707.629197	0.937880189	81.61
ICGC_0105	-392.2580896	330.0259224	-62.23216723	0.827670509	83.08
ICGC_0108	676.3247185	313.2032906	989.5280091	0.731526322	50.93
ICGC_0109	390.4874933	-39.30793818	351.1795551	0.792111149	54.1
ICGC_0205	-62.95940008	-323.3794979	-386.338898	0.853423777	68.09
ICGC_0206	794.5624076	-23.13695223	771.4254554	0.752975932	69.55
ICGC_0207	179.7810595	-680.9074405	-501.126381	0.862084461	64.3
ICGC_0114	193.2916671	-401.2732537	-207.9815865	0.839486982	82.84
ICGC_0212	-62.11699916	-226.4518129	-288.5688121	0.845855884	55.61
ICGC_0115	729.3230021	263.1190726	992.4420748	0.731234608	57.29
ICGC_0066	158.7736253	-773.5623119	-614.7886866	0.870419101	65.03
ICGC_0124	657.6532688	461.3232544	1118.976523	0.718439542	60.21
ICGC_0392	154.8094999	50.16553034	204.9750303	0.805027112	57.74
ICGC_0393	-44.71275616	-61.34285026	-106.0556064	0.831263524	52.43
ICGC_0067	671.3491134	649.2238234	1320.572937	0.697544113	30.52
ICGC_0134	247.6758494	147.5328435	395.2086929	0.788149788	50.51
ICGC_0135	508.6882246	-478.7650798	29.92314474	0.820003283	40.22
ICGC_0139	-858.6322679	-950.4364539	-1809.068722	0.942942303	70.41
ICGC_0140	-1030.688561	-1013.351094	-2044.039656	0.9538632	88.54
ICGC_0141	31.10184095	-895.0390411	-863.9372002	0.887837921	63.3
ICGC_0143	696.188163	608.2129975	1304.40116	0.699243094	51.87
ICGC_0144	998.062162	788.7172918	1786.779454	0.64691404	58.27
ICGC_0146	891.2311909	-102.2681149	788.963076	0.751279413	47.69
ICGC_0149	-533.7075518	-530.0078673	-1063.715419	0.900948402	69.52
ICGC_0150	83.14019131	-585.996623	-502.8564316	0.862213126	80.52
ICGC_0153	-171.4308538	-71.42791908	-242.8587729	0.842257838	80.06
ICGC_0169	-142.9769588	-374.0249349	-517.0018937	0.863263053	57.68
ICGC_0185	190.8513019	-504.4631747	-313.6118728	0.847811002	56.17
ICGC_0188	418.2263576	28.91726557	447.1436232	0.783434827	56.64
ICGC_0192	-256.6468396	-726.1290514	-982.775891	0.895729465	53.95
ICGC_0199	715.3512637	5.841804536	721.1930682	0.757807558	79.74
ICGC_0201	194.5458319	-311.4788951	-116.9330632	0.832150027	83.88
ICGC_0304	-161.2994904	-588.6261995	-749.9256899	0.880012974	73.29
ICGC_0315	-126.4666427	-576.6693283	-703.135971	0.876730201	80.53
ICGC_0214	289.4776009	-134.5266317	154.9509692	0.809361488	54.89
ICGC_0223	-93.03165535	-298.5309609	-391.5626163	0.853823186	89.61
ICGC_0215	630.1389249	173.6343602	803.773285	0.749842855	71.56
ICGC_0295	192.2879676	-406.801751	-214.5137834	0.840007617	81.6
ICGC_0230	165.9123581	-7.573252511	158.3391056	0.809069295	71.16
ICGC_0296	227.6750989	-41.64855755	186.0265413	0.806674039	63.53
ICGC_0224	-1808.763468	-710.8155466	-2519.579015	0.972481214	84.1
ICGC_0395	125.5166153	-244.249419	-118.7328036	0.832296499	67.01
ICGC_0235	-701.0781598	-245.0242753	-946.1024351	0.893323113	73.26
ICGC_0486	-406.1803145	-455.221274	-861.4015885	0.88766659	80.85
ICGC_0300	-232.6731707	277.677565	45.00439429	0.818734214	64.46
ICGC_0338	-1902.920254	-991.2534358	-2894.17369	0.983815738	97.91
ICGC_0321	-78.42056227	-898.6238093	-977.0443715	0.895355098	63.58
ICGC_0301	385.4958591	99.77032455	485.2661837	0.779944841	70.27
ICGC_0309	-675.5954083	37.17786781	-638.4175405	0.872121415	79.53
ICGC_0312	196.994368	-219.2606595	-22.26629156	0.824363907	55.88
ICGC_0227	-414.5306901	-68.14797878	-482.6786689	0.860709029	62.62
ICGC_0326	-118.7553035	-119.7991291	-238.5544327	0.841917068	59.1
ICGC_0313	1080.806152	577.0149872	1657.821139	0.661232276	50.4
ICGC_0303	-292.1460434	167.4515266	-124.6945168	0.832781281	65.78
ICGC_0406	-109.7172403	-766.8578466	-876.5750869	0.888690027	64.21
ICGC_0412	646.5459129	23.14950155	669.6954144	0.76271811	47.81
ICGC_0365	368.8341215	-477.4050293	-108.5709077	0.831468707	55.14
