Tumor	Cellularity
PCSI_0208	0.936
PCSI_0612	0.927
PCSI_0594	0.926
PCSI_0015	0.924
PCSI_0633	0.916
PCSI_0287	0.914
PCSI_0623	0.91
PCSI_0230	0.905
PCSI_0227	0.901
PCSI_0109	0.9
PCSI_0472	0.9
PCSI_0627	0.896
PCSI_0602	0.895
PCSI_0074	0.892
PCSI_0099	0.891
PCSI_0629	0.891
PCSI_0171	0.888
PCSI_0347	0.884
PCSI_0653	0.884
PCSI_0142	0.883
PCSI_0590	0.876
PCSI_0625	0.876
PCSI_0170	0.871
PCSI_0652	0.871
PCSI_0449	0.867
PCSI_0098	0.866
PCSI_0613	0.866
PCSI_0090	0.864
PCSI_0468	0.863
PCSI_0295	0.861
PCSI_0476	0.861
PCSI_0357	0.855
PCSI_0475	0.855
PCSI_0096	0.854
PCSI_03573	0.852
PCSI_0592	0.852
PCSI_0107	0.851
PCSI_0477	0.851
PCSI_0645	0.851
PCSI_0305	0.847
PCSI_0104	0.845
PCSI_0081	0.844
PCSI_0174	0.842
PCSI_0626	0.842
PCSI_0210	0.839
PCSI_0297	0.836
PCSI_0467	0.833
PCSI_0589	0.83
PCSI_0237	0.822
PCSI_0355	0.822
PCSI_0302	0.815
PCSI_0236	0.809
PCSI_0101	0.807
PCSI_0175	0.798
PCSI_0608	0.798
PCSI_0169	0.795
PCSI_0216	0.79
PCSI_0004	0.789
PCSI_0111	0.788
PCSI_0307	0.788
PCSI_0649	0.781
PCSI_0226	0.78
PCSI_0643	0.78
PCSI_0075	0.779
PCSI_0628	0.777
PCSI_0358	0.774
PCSI_0132	0.769
PCSI_0469	0.768
PCSI_0084	0.764
PCSI_0466	0.757
PCSI_0890	0.757
PCSI_0356	0.752
PCSI_0610	0.751
PCSI_0352	0.75
PCSI_0504	0.75
PCSI_0326	0.749
PCSI_0162	0.736
PCSI_0611	0.732
PCSI_0343	0.73
PCSI_0616	0.73
PCSI_0591	0.726
PCSI_0593	0.725
PCSI_0294	0.719
PCSI_0292	0.716
PCSI_0329	0.716
PCSI_05496	0.714
PCSI_0046	0.71
PCSI_0073	0.706
PCSI_0019	0.705
PCSI_0290	0.703
PCSI_0108	0.702
PCSI_0638	0.689
PCSI_0078	0.687
PCSI_0521	0.687
PCSI_0639	0.685
PCSI_0624	0.683
PCSI_0511	0.682
PCSI_0146	0.674
PCSI_0044	0.666
PCSI_0218	0.662
PCSI_0344	0.654
PCSI_0537	0.653
PCSI_0264	0.649
PCSI_0530	0.647
PCSI_0492	0.646
PCSI_0300	0.644
PCSI_0269	0.643
PCSI_0239	0.642
PCSI_0082	0.639
PCSI_0339	0.638
PCSI_0240	0.637
PCSI_0642	0.63
PCSI_0547	0.629
PCSI_0325	0.626
PCSI_0077	0.609
PCSI_0161	0.605
PCSI_0324	0.605
PCSI_0279	0.601
PCSI_0338	0.601
PCSI_0274	0.598
PCSI_0508	0.594
PCSI_0048	0.592
PCSI_0217	0.591
PCSI_0588	0.591
PCSI_0529	0.586
PCSI_0102	0.576
PCSI_0047	0.571
PCSI_0312	0.566
PCSI_0473	0.563
PCSI_0085	0.56
PCSI_0334	0.56
PCSI_0261	0.551
PCSI_0345	0.548
PCSI_0105	0.547
PCSI_0228	0.544
PCSI_0284	0.543
PCSI_0285	0.541
PCSI_0303	0.538
PCSI_0527	0.534
PCSI_0281	0.527
PCSI_0341	0.522
PCSI_0048	0.519
PCSI_0609	0.514
PCSI_0080	0.509
PCSI_0572	0.505
PCSI_0528	0.502
PCSI_0350	0.496
PCSI_0310	0.493
PCSI_0268	0.492
PCSI_0072	0.468
PCSI_0102	0.463
PCSI_0173	0.451
PCSI_0109	0.448
PCSI_0311	0.438
PCSI_0330	0.42
PCSI_0340	0.412
PCSI_0019	0.401
PCSI_0337	0.4
PCSI_0655	0.399
PCSI_0506	0.389
PCSI_0073	0.381
PCSI_0164	0.379
PCSI_0309	0.374
PCSI_0463	0.364
PCSI_0465	0.356
PCSI_0531	0.354
PCSI_0047	0.351
PCSI_0534	0.345
PCSI_0111	0.339
PCSI_0283	0.335
PCSI_0098	0.33
PCSI_0023	0.326
PCSI_0044	0.299
PCSI_0233	0.294
PCSI_0518	0.292
PCSI_0509	0.289
PCSI_0263	0.279
PCSI_0235	0.263
PCSI_0085	0.236
PCSI_0101	0.23
PCSI_0083	0.22
PCSI_0072	0.206
PCSI_0328	0.201
PCSI_0474	0.197
PCSI_0024	NA
PCSI_0103	NA
PCSI_0145	NA
PCSI_0280	NA
PCSI_0286	NA
PCSI_05494	NA
